college_code,college_name,city,district,region,college_type,government_or_private,autonomous,minority_status
2777,CDS College of Engineering,Aurangabad,Chhatrapati Sambhajinagar,Marathwada,,,,
2779,NKSPT INSTITUTE OF ENGINEERING AND TECHNOLOGY PATHIKAR CAMPUS,Badnapur,Chhatrapati Sambhajinagar,Marathwada,,,,
3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3014,"Sardar Patel College of Engineering, Andheri",Mumbai,Mumbai,Mumbai Region,,,,
3033,"Dr. Babasaheb Ambedkar Technological University, Lonere",Raigad,Raigad,Mumbai Region,,,,
3036,"Institute of Chemical Technology, Matunga, Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3042,"Government College of Engineering, Ratnagiri",Ratnagiri,Ratnagiri,Konkan,,,,
3042,"Loknete Shamrao Peje Government College of Engineering, Ratnagiri",Ratnagiri,Ratnagiri,Konkan,,,,
3135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3143,"Thakur Shyamnarayan Engineering College, Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat",Raigad,Raigad,Mumbai Region,,,,
3148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3182,"Thadomal Shahani Engineering College, Bandra, Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3188,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3189,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3190,"Terna Engineering College, Nerul, Navi Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3194,"Vidyavardhini's College of Engineering and Technology, Vasai",Palghar,Palghar,Mumbai Region,,,,
3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3198,"Konkan Gyanpeeth College of Engineering, Karjat",Raigad,Raigad,Mumbai Region,,,,
3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3200,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",Ratnagiri,Ratnagiri,Konkan,,,,
3201,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3202,Rajendra Mane College of Engineering & Technology Ambav Deorukh,Ratnagiri,Ratnagiri,Konkan,,,,
3203,"Atharva College of Engineering,Malad(West),Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3204,"St. Francis Institute of Technology,Borivali, Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3206,"S.S.P.M.'s College of Engineering, Kankavli",Sindhudurg,Sindhudurg,Konkan,,,,
3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel",Panvel,Mumbai,Mumbai Region,,,,
3208,"Don Bosco Institute of Technology, Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3209,K J Somaiya Institute of Technology,Mumbai,Mumbai,Mumbai Region,,,,
3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",Thane,Thane,Mumbai Region,,,,
3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3212,"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR",Thane,Thane,Mumbai Region,,,,
3212,"Watumull Institute of Engineering & Technology, Ulhasnagar",Thane,Thane,Mumbai Region,,,,
3214,"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3216,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Ratnagiri,Ratnagiri,Konkan,,,,
3217,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Thane,Thane,Mumbai Region,,,,
3218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Palghar,Palghar,Mumbai Region,,,,
3219,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur",Thane,Thane,Mumbai Region,,,,
3220,Yadavrao Tasgaonkar College of Engineering & Management,Mumbai,Mumbai,Mumbai Region,,,,
3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon",Palghar,Palghar,Mumbai Region,,,,
3221,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",Palghar,Palghar,Mumbai Region,,,,
3222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",Palghar,Palghar,Mumbai Region,,,,
3223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Raigad,Raigad,Mumbai Region,,,,
3224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",Raigad,Raigad,Mumbai Region,,,,
3257,"Vidya Prasarak Mandal's College of Engineering, Thane",Thane,Thane,Mumbai Region,,,,
3277,Pravin Rohidas Patil College of Engineering & Technology,Mumbai,Mumbai,Mumbai Region,,,,
3277,"Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg. & Technology, Bhayinder (E) Western Rly",Thane,Thane,Mumbai Region,,,,
3351,"Bharat College of Engineering, Kanhor, Badlapur(W)",Thane,Thane,Mumbai Region,,,,
3353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",Mumbai,Mumbai,Mumbai Region,,,,
3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",Thane,Thane,Mumbai Region,,,,
3439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Panvel,Mumbai,Mumbai Region,,,,
3440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.",Sindhudurg,Sindhudurg,Konkan,,,,
3445,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research",Mumbai,Mumbai,Mumbai Region,,,,
3447,"G.M.Vedak Institute of Technology, Tala, Raigad.",Raigad,Raigad,Mumbai Region,,,,
3460,"Universal College of Engineering,Kaman Dist. Palghar",Palghar,Palghar,Mumbai Region,,,,
3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",Ratnagiri,Ratnagiri,Konkan,,,,
3465,"Ideal Institute of Technology, Wada, Dist.Thane",Thane,Thane,Mumbai Region,,,,
3467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",Raigad,Raigad,Mumbai Region,,,,
3470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,Mumbai,Mumbai,Mumbai Region,,,,
3471,"New Horizon Institute of Technology & Management, Thane",Thane,Thane,Mumbai Region,,,,
3475,"A. P. Shah Institute of Technology, Thane",Thane,Thane,Mumbai Region,,,,
3477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",Panvel,Mumbai,Mumbai Region,,,,
3503,"Indala College Of Engineering, Bapsai Tal.Kalyan",Thane,Thane,Mumbai Region,,,,
3546,Devi Mahalaxmi College of Engineering and Technology,Mumbai,Mumbai,Mumbai Region,,,,
3723,Navjeevan Education Society's College of Engineering,Mumbai,Mumbai,Mumbai Region,,,,
3724,Thakur Shree DPS College of Engineering & Management,Vasai,Mumbai,Mumbai Region,,,,
3725,"MAEER's Maharashtra Institute of Technology, Thane",Thane,Thane,Mumbai Region,,,,
3726,Imperial College of Engineering,Titwala,Mumbai,Mumbai Region,,,,
4004,"Government College of Engineering, Chandrapur",Chandrapur,Chandrapur,Vidarbha,,,,
4005,"Laxminarayan Institute of Technology, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
4025,"Government College of Engineering, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
